Quantity
9
7
14
3
14
14
59
19
13
9
10
41
1
100
2
12
9
4
18
9
18
36
2
7
6
3
18
6
13
18
18
9
39
1
19
4
3
16
3
6
13
37
36
6
6
12
16
15
2
15
10
5
4
31
1
4
5
17
36
18
1
11
4
16
12
16
27
4
1
9
1
6
34
3
17
1
30
15
3
13
39
39
12
23
25
5
48
16
32
18
41
22
28
33
60
28
10
20
2
26
29
25
20
60
18
1
29
4
5
35
21
5
10
6
1
19
4
35
2
5
34
1
9
7
1
1
84
6
6
31
33
20
46
18
9
8
8
41
21
5
5
1
6
14
37
14
15
6
6
6
4
5
13
2
27
15
19
34
12
2
33
5
52
50
8
5
18
1
4
18
45
44
50
11
36
32
1
13
2
11
2
3
42
2
33
3
3
57
11
18
12
27
4
18
4
11
2
7
24
19
1
25
27
2
1
10
1
47
27
23
5
38
13
22
1
3
16
4
41
13
6
26
11
15
17
10
28
38
6
1
2
4
42
35
1
7
7
25
25
55
1
18
28
3
15
65
62
12
38
45
23
6
37
31
3
17
10
31
14
39
39
7
6
1
5
3
94
8
53
1
7
5
2
29
16
35
5
11
18
27
7
35
8
7
19
3
29
36
29
45
14
8
29
8
17
1
8
30
12
6
23
1
28
24
42
6
3
24
38
1
37
36
15
15
2
3
30
38
11
31
36
4
4
46
14
12
33
1
67
26
10
3
13
28
1
2
61
9
33
25
13
19
2
1
10
3
5
4
1
7
21
40
4
19
26
32
11
35
14
3
33
1
2
14
3
13
60
29
31
16
51
6
6
13
3
9
8
18
20
4
38
32
22
1
10
38
39
14
11
12
19
5
6
1
33
40
32
10
18
11
22
17
6
26
4
19
1
6
42
22
1
6
10
2
8
1
7
16
3
26
4
19
7
6
7
48
38
28
16
2
13
2
9
2
55
18
25
27
46
16
1
1
42
2
26
38
1
4
5
23
3
8
14
11
3
44
24
17
1
16
6
7
12
17
1
1
13
40
1
1
10
53
18
48
14
21
5
3
15
7
41
54
4
34
1
18
1
27
13
5
4
30
8
2
1
22
19
3
18
16
36
42
44
53
25
1
19
1
3
31
7
5
12
19
9
12
7
1
2
19
23
7
11
1
11
2
12
42
19
26
20
1
64
21
1
54
1
1
8
17
55
2
34
13
25
29
17
22
1
17
14
36
22
12
3
15
4
35
1
35
50
27
46
22
13
8
44
32
40
9
26
33
11
21
1
36
32
20
4
44
20
13
46
51
43
6
29
17
33
11
23
1
1
48
2
24
22
39
1
30
1
35
3
1
2
14
24
1
19
4
5
3
13
33
11
1
32
25
19
19
22
14
1
12
20
23
3
16
4
13
14
3
3
1
14
21
25
1
10
19
1
17
59
10
2
7
27
41
2
1
18
5
10
1
8
60
90
13
4
3
6
4
3
12
18
22
27
29
40
10
12
23
45
13
11
28
1
23
1
61
1
2
11
48
5
37
13
4
13
46
14
36
5
20
39
6
1
8
14
4
41
19
1
59
4
1
18
1
20
11
15
39
15
9
7
3
1
17
2
6
10
42
1
1
3
5
31
3
13
33
53
39
2
23
4
1
49
23
1
45
47
18
6
2
11
1
1
23
1
1
26
7
1
8
5
2
1
1
21
6
7
3
6
2
34
2
1
1
52
8
39
4
4
63
4
8
3
1
40
3
1
38
1
54
8
33
5
1
38
15
3
50
5
8
63
15
32
7
33
2
2
2
10
38
4
7
40
11
4
16
24
44
39
21
10
11
12
7
6
48
39
7
35
7
5
74
9
1
2
21
2
2
12
31
4
36
45
18
7
3
1
7
6
1
48
50
2
57
3
1
21
26
1
15
15
42
1
43
9
30
2
70
13
13
31
18
71
14
12
22
1
6
8
10
4
12
5
52
2
5
17
61
1
2
36
8
10
23
7
1
3
34
31
24
42
16
1
19
2
42
3
4
6
20
16
31
28
10
25
6
43
15
2
16
23
17
3
33
1
11
44
38
1
3
15
12
1
2
22
24
36
5
1
8
50
1
66
39
55
51
1
56
20
45
1
15
29
2
36
27
2
11
16
3
18
5
1
50
20
6
9
15
48
12
23
19
1
7
36
10
1
1
1
23
2
10
29
2
21
33
32
17
1
36
21
33
8
7
15
4
35
35
12
19
2
6
5
6
34
8
39
74
2
4
1
6
4
3
2
19
83
35
15
2
22
7
39
49
38
3
2
48
19
18
23
30
1
8
28
13
2
41
10
12
22
10
52
22
52
7
1
1
4
22
1
2
55
53
2
2
30
1
26
21
14
10
23
12
3
1
2
25
17
48
10
3
39
7
11
32
2
51
5
39
33
1
40
7
14
24
24
1
9
24
1
5
28
18
37
21
19
16
17
33
6
1
3
3
6
69
34
19
27
13
16
2
61
5
2
46
40
47
8
27
18
1
30
3
3
7
7
32
1
5
5
29
26
19
30
5
13
1
27
14
4
82
11
59
1
18
1
40
4
1
5
34
15
3
7
21
46
12
45
41
1
29
11
8
1
8
31
3
15
11
47
1
20
59
2
1
28
8
40
2
24
1
11
1
1
1
45
49
21
30
10
1
6
3
39
16
30
2
51
19
27
30
1
43
10
1
29
13
2
10
9
7
32
37
35
9
